OrderID,Product Code,ProductName,OrderDate,ShippedDate,RequiredDate,Cutomer Name,Customer Country,Customer City,TitleOfCourtesy#Title#FirstName#LastName,Sales Quantity,Sales Price,
10248,11,Queso Cabrales,04/07/2018,16/07/2018,01/08/2018,Vins et alcools Chevalier,France,Reims,Mr.#Steven#Buchanan#Sales Manager,12,14,
10248,42,Singaporean Hokkien Fried Mee,04/07/2018,16/07/2018,01/08/2018,Vins et alcools Chevalier,France,Reims,Mr.#Steven#Buchanan#Sales Manager,10,9.8,
10248,72,Mozzarella di Giovanni,04/07/2018,16/07/2018,01/08/2018,Vins et alcools Chevalier,France,Reims,Mr.#Steven#Buchanan#Sales Manager,5,34.8,
10249,14,Tofu,05/07/2018,10/07/2018,16/08/2018,Toms Spezialit?ten,Germany,M?nster,Mr.#Michael#Suyama#Sales Representative,9,18.6,
10249,51,Manjimup Dried Apples,05/07/2018,10/07/2018,16/08/2018,Toms Spezialit?ten,Germany,M?nster,Mr.#Michael#Suyama#Sales Representative,40,42.4,
10250,41,Jack's New England Clam Chowder,08/07/2018,12/07/2018,05/08/2018,Hanari Carnes,Brazil,Rio de Janeiro,Mrs.#Margaret#Peacock#Sales Representative,10,7.7,
10250,51,Manjimup Dried Apples,08/07/2018,12/07/2018,05/08/2018,Hanari Carnes,Brazil,Rio de Janeiro,Mrs.#Margaret#Peacock#Sales Representative,35,42.4,
10250,65,Louisiana Fiery Hot Pepper Sauce,08/07/2018,12/07/2018,05/08/2018,Hanari Carnes,Brazil,Rio de Janeiro,Mrs.#Margaret#Peacock#Sales Representative,15,16.8,
10251,22,Gustaf's Kn?ckebr?d,08/07/2018,15/07/2018,05/08/2018,Victuailles en stock,France,Lyon,Ms.#Janet#Leverling#Sales Representative,6,16.8,
10251,57,Ravioli Angelo,08/07/2018,15/07/2018,05/08/2018,Victuailles en stock,France,Lyon,Ms.#Janet#Leverling#Sales Representative,15,15.6,
10251,65,Louisiana Fiery Hot Pepper Sauce,08/07/2018,15/07/2018,05/08/2018,Victuailles en stock,France,Lyon,Ms.#Janet#Leverling#Sales Representative,20,16.8,
10252,20,Sir Rodney's Marmalade,09/07/2018,11/07/2018,06/08/2018,Supr?mes d?lices,Belgium,Charleroi,Mrs.#Margaret#Peacock#Sales Representative,40,64.8,
10252,33,Geitost,09/07/2018,11/07/2018,06/08/2018,Supr?mes d?lices,Belgium,Charleroi,Mrs.#Margaret#Peacock#Sales Representative,25,2,
10252,60,Camembert Pierrot,09/07/2018,11/07/2018,06/08/2018,Supr?mes d?lices,Belgium,Charleroi,Mrs.#Margaret#Peacock#Sales Representative,40,27.2,
10253,31,Gorgonzola Telino,10/07/2018,16/07/2018,24/07/2018,Hanari Carnes,Brazil,Rio de Janeiro,Ms.#Janet#Leverling#Sales Representative,20,10,
10253,39,Chartreuse verte,10/07/2018,16/07/2018,24/07/2018,Hanari Carnes,Brazil,Rio de Janeiro,Ms.#Janet#Leverling#Sales Representative,42,14.4,
10253,49,Maxilaku,10/07/2018,16/07/2018,24/07/2018,Hanari Carnes,Brazil,Rio de Janeiro,Ms.#Janet#Leverling#Sales Representative,40,16,
10254,24,Guaran? Fant?stica,11/07/2018,23/07/2018,08/08/2018,Chop-suey Chinese,Switzerland,Bern,Mr.#Steven#Buchanan#Sales Manager,15,3.6,
10254,55,P?t? chinois,11/07/2018,23/07/2018,08/08/2018,Chop-suey Chinese,Switzerland,Bern,Mr.#Steven#Buchanan#Sales Manager,21,19.2,
10254,74,Longlife Tofu,11/07/2018,23/07/2018,08/08/2018,Chop-suey Chinese,Switzerland,Bern,Mr.#Steven#Buchanan#Sales Manager,21,8,
10255,2,Chang,12/07/2018,15/07/2018,09/08/2018,Richter Supermarkt,Switzerland,Gen?ve,Ms.#Anne#Dodsworth#Sales Representative,20,15.2,
10255,16,Pavlova,12/07/2018,15/07/2018,09/08/2018,Richter Supermarkt,Switzerland,Gen?ve,Ms.#Anne#Dodsworth#Sales Representative,35,13.9,
10255,36,Inlagd Sill,12/07/2018,15/07/2018,09/08/2018,Richter Supermarkt,Switzerland,Gen?ve,Ms.#Anne#Dodsworth#Sales Representative,25,15.2,
10255,59,Raclette Courdavault,12/07/2018,15/07/2018,09/08/2018,Richter Supermarkt,Switzerland,Gen?ve,Ms.#Anne#Dodsworth#Sales Representative,30,44,
10256,53,Perth Pasties,15/07/2018,17/07/2018,12/08/2018,Wellington Importadora,Brazil,Resende,Ms.#Janet#Leverling#Sales Representative,15,26.2,
10256,77,Original Frankfurter gr?ne So?e,15/07/2018,17/07/2018,12/08/2018,Wellington Importadora,Brazil,Resende,Ms.#Janet#Leverling#Sales Representative,12,10.4,
10257,27,Schoggi Schokolade,16/07/2018,22/07/2018,13/08/2018,HILARION-Abastos,Venezuela,San Crist?bal,Mrs.#Margaret#Peacock#Sales Representative,25,35.1,
10257,39,Chartreuse verte,16/07/2018,22/07/2018,13/08/2018,HILARION-Abastos,Venezuela,San Crist?bal,Mrs.#Margaret#Peacock#Sales Representative,6,14.4,
10257,77,Original Frankfurter gr?ne So?e,16/07/2018,22/07/2018,13/08/2018,HILARION-Abastos,Venezuela,San Crist?bal,Mrs.#Margaret#Peacock#Sales Representative,15,10.4,
10258,2,Chang,17/07/2018,23/07/2018,14/08/2018,Ernst Handel,Austria,Graz,Ms.#Nancy#Davolio#Sales Representative,50,15.2,
10258,5,Chef Anton's Gumbo Mix,17/07/2018,23/07/2018,14/08/2018,Ernst Handel,Austria,Graz,Ms.#Nancy#Davolio#Sales Representative,65,17,
10258,32,Mascarpone Fabioli,17/07/2018,23/07/2018,14/08/2018,Ernst Handel,Austria,Graz,Ms.#Nancy#Davolio#Sales Representative,6,25.6,
10259,21,Sir Rodney's Scones,18/07/2018,25/07/2018,15/08/2018,Centro comercial Moctezuma,Mexico,M?xico D.F.,Mrs.#Margaret#Peacock#Sales Representative,10,8,
10259,37,Gravad lax,18/07/2018,25/07/2018,15/08/2018,Centro comercial Moctezuma,Mexico,M?xico D.F.,Mrs.#Margaret#Peacock#Sales Representative,1,20.8,
10260,41,Jack's New England Clam Chowder,19/07/2018,29/07/2018,16/08/2018,Ottilies K?seladen,Germany,K?ln,Mrs.#Margaret#Peacock#Sales Representative,16,7.7,
10260,57,Ravioli Angelo,19/07/2018,29/07/2018,16/08/2018,Ottilies K?seladen,Germany,K?ln,Mrs.#Margaret#Peacock#Sales Representative,50,15.6,
10260,62,Tarte au sucre,19/07/2018,29/07/2018,16/08/2018,Ottilies K?seladen,Germany,K?ln,Mrs.#Margaret#Peacock#Sales Representative,15,39.4,
10260,70,Outback Lager,19/07/2018,29/07/2018,16/08/2018,Ottilies K?seladen,Germany,K?ln,Mrs.#Margaret#Peacock#Sales Representative,21,12,
10261,21,Sir Rodney's Scones,19/07/2018,30/07/2018,16/08/2018,Que Del?cia,Brazil,Rio de Janeiro,Mrs.#Margaret#Peacock#Sales Representative,20,8,
10261,35,Steeleye Stout,19/07/2018,30/07/2018,16/08/2018,Que Del?cia,Brazil,Rio de Janeiro,Mrs.#Margaret#Peacock#Sales Representative,20,14.4,
10262,5,Chef Anton's Gumbo Mix,22/07/2018,25/07/2018,19/08/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,Ms.#Laura#Callahan#Inside Sales Coordinator,12,17,
10262,7,Uncle Bob's Organic Dried Pears,22/07/2018,25/07/2018,19/08/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,Ms.#Laura#Callahan#Inside Sales Coordinator,15,24,
10262,56,Gnocchi di nonna Alice,22/07/2018,25/07/2018,19/08/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,Ms.#Laura#Callahan#Inside Sales Coordinator,2,30.4,
10263,16,Pavlova,23/07/2018,31/07/2018,20/08/2018,Ernst Handel,Austria,Graz,Ms.#Anne#Dodsworth#Sales Representative,60,13.9,
10263,24,Guaran? Fant?stica,23/07/2018,31/07/2018,20/08/2018,Ernst Handel,Austria,Graz,Ms.#Anne#Dodsworth#Sales Representative,28,3.6,
10263,30,Nord-Ost Matjeshering,23/07/2018,31/07/2018,20/08/2018,Ernst Handel,Austria,Graz,Ms.#Anne#Dodsworth#Sales Representative,60,20.7,
10263,74,Longlife Tofu,23/07/2018,31/07/2018,20/08/2018,Ernst Handel,Austria,Graz,Ms.#Anne#Dodsworth#Sales Representative,36,8,
10264,2,Chang,24/07/2018,23/08/2018,21/08/2018,Folk och f? HB,Sweden,Br?cke,Mr.#Michael#Suyama#Sales Representative,35,15.2,
10264,41,Jack's New England Clam Chowder,24/07/2018,23/08/2018,21/08/2018,Folk och f? HB,Sweden,Br?cke,Mr.#Michael#Suyama#Sales Representative,25,7.7,
10265,17,Alice Mutton,25/07/2018,12/08/2018,22/08/2018,Blondesddsl p?re et fils,France,Strasbourg,"Dr.#Andrew#Fuller#Vice President, Sales",30,31.2,
10265,70,Outback Lager,25/07/2018,12/08/2018,22/08/2018,Blondesddsl p?re et fils,France,Strasbourg,"Dr.#Andrew#Fuller#Vice President, Sales",20,12,
10266,12,Queso Manchego La Pastora,26/07/2018,31/07/2018,06/09/2018,Wartian Herkku,Finland,Oulu,Ms.#Janet#Leverling#Sales Representative,12,30.4,
10267,40,Boston Crab Meat,29/07/2018,06/08/2018,26/08/2018,Frankenversand,Germany,M?nchen,Mrs.#Margaret#Peacock#Sales Representative,50,14.7,
10267,59,Raclette Courdavault,29/07/2018,06/08/2018,26/08/2018,Frankenversand,Germany,M?nchen,Mrs.#Margaret#Peacock#Sales Representative,70,44,
10267,76,Lakkalik??ri,29/07/2018,06/08/2018,26/08/2018,Frankenversand,Germany,M?nchen,Mrs.#Margaret#Peacock#Sales Representative,15,14.4,
10268,29,Th?ringer Rostbratwurst,30/07/2018,02/08/2018,27/08/2018,GROSELLA-Restaurante,Venezuela,Caracas,Ms.#Laura#Callahan#Inside Sales Coordinator,10,99,
10268,72,Mozzarella di Giovanni,30/07/2018,02/08/2018,27/08/2018,GROSELLA-Restaurante,Venezuela,Caracas,Ms.#Laura#Callahan#Inside Sales Coordinator,4,27.8,
10269,33,Geitost,31/07/2018,09/08/2018,14/08/2018,White Clover Markets,USA,Seattle,Mr.#Steven#Buchanan#Sales Manager,60,2,
10269,72,Mozzarella di Giovanni,31/07/2018,09/08/2018,14/08/2018,White Clover Markets,USA,Seattle,Mr.#Steven#Buchanan#Sales Manager,20,27.8,
10270,36,Inlagd Sill,01/08/2018,02/08/2018,29/08/2018,Wartian Herkku,Finland,Oulu,Ms.#Nancy#Davolio#Sales Representative,30,15.2,
10270,43,Ipoh Coffee,01/08/2018,02/08/2018,29/08/2018,Wartian Herkku,Finland,Oulu,Ms.#Nancy#Davolio#Sales Representative,25,36.8,
10271,33,Geitost,01/08/2018,30/08/2018,29/08/2018,Split Rail Beer & Ale,USA,Lander,Mr.#Michael#Suyama#Sales Representative,24,2,
10272,20,Sir Rodney's Marmalade,02/08/2018,06/08/2018,30/08/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,Mr.#Michael#Suyama#Sales Representative,6,64.8,
10272,31,Gorgonzola Telino,02/08/2018,06/08/2018,30/08/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,Mr.#Michael#Suyama#Sales Representative,40,10,
10272,72,Mozzarella di Giovanni,02/08/2018,06/08/2018,30/08/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,Mr.#Michael#Suyama#Sales Representative,24,27.8,
10273,10,Ikura,05/08/2018,12/08/2018,02/09/2018,QUICK-Stop,Germany,Cunewalde,Ms.#Janet#Leverling#Sales Representative,24,24.8,
10273,31,Gorgonzola Telino,05/08/2018,12/08/2018,02/09/2018,QUICK-Stop,Germany,Cunewalde,Ms.#Janet#Leverling#Sales Representative,15,10,
10273,33,Geitost,05/08/2018,12/08/2018,02/09/2018,QUICK-Stop,Germany,Cunewalde,Ms.#Janet#Leverling#Sales Representative,20,2,
10273,40,Boston Crab Meat,05/08/2018,12/08/2018,02/09/2018,QUICK-Stop,Germany,Cunewalde,Ms.#Janet#Leverling#Sales Representative,60,14.7,
10273,76,Lakkalik??ri,05/08/2018,12/08/2018,02/09/2018,QUICK-Stop,Germany,Cunewalde,Ms.#Janet#Leverling#Sales Representative,33,14.4,
10274,71,Flotemysost,06/08/2018,16/08/2018,03/09/2018,Vins et alcools Chevalier,France,Reims,Mr.#Michael#Suyama#Sales Representative,20,17.2,
10274,72,Mozzarella di Giovanni,06/08/2018,16/08/2018,03/09/2018,Vins et alcools Chevalier,France,Reims,Mr.#Michael#Suyama#Sales Representative,7,27.8,
10275,24,Guaran? Fant?stica,07/08/2018,09/08/2018,04/09/2018,Magazzini Alimentari Riuniti,Italy,Bergamo,Ms.#Nancy#Davolio#Sales Representative,12,3.6,
10275,59,Raclette Courdavault,07/08/2018,09/08/2018,04/09/2018,Magazzini Alimentari Riuniti,Italy,Bergamo,Ms.#Nancy#Davolio#Sales Representative,6,44,
10276,10,Ikura,08/08/2018,14/08/2018,22/08/2018,Tortuga Restaurante,Mexico,M?xico D.F.,Ms.#Laura#Callahan#Inside Sales Coordinator,15,24.8,
10276,13,Konbu,08/08/2018,14/08/2018,22/08/2018,Tortuga Restaurante,Mexico,M?xico D.F.,Ms.#Laura#Callahan#Inside Sales Coordinator,10,4.8,
10277,28,R?ssle Sauerkraut,09/08/2018,13/08/2018,06/09/2018,Morgenstern Gesundkost,Germany,Leipzig,"Dr.#Andrew#Fuller#Vice President, Sales",20,36.4,
10277,62,Tarte au sucre,09/08/2018,13/08/2018,06/09/2018,Morgenstern Gesundkost,Germany,Leipzig,"Dr.#Andrew#Fuller#Vice President, Sales",12,39.4,
10278,44,Gula Malacca,12/08/2018,16/08/2018,09/09/2018,Berglunds snabbk?p,Sweden,Lule?,Ms.#Laura#Callahan#Inside Sales Coordinator,16,15.5,
10278,59,Raclette Courdavault,12/08/2018,16/08/2018,09/09/2018,Berglunds snabbk?p,Sweden,Lule?,Ms.#Laura#Callahan#Inside Sales Coordinator,15,44,
10278,63,Vegie-spread,12/08/2018,16/08/2018,09/09/2018,Berglunds snabbk?p,Sweden,Lule?,Ms.#Laura#Callahan#Inside Sales Coordinator,8,35.1,
10278,73,R?d Kaviar,12/08/2018,16/08/2018,09/09/2018,Berglunds snabbk?p,Sweden,Lule?,Ms.#Laura#Callahan#Inside Sales Coordinator,25,12,
10279,17,Alice Mutton,13/08/2018,16/08/2018,10/09/2018,Lehmanns Marktstand,Germany,Frankfurt a.M.,Ms.#Laura#Callahan#Inside Sales Coordinator,15,31.2,
10280,24,Guaran? Fant?stica,14/08/2018,12/09/2018,11/09/2018,Berglunds snabbk?p,Sweden,Lule?,"Dr.#Andrew#Fuller#Vice President, Sales",12,3.6,
10280,55,P?t? chinois,14/08/2018,12/09/2018,11/09/2018,Berglunds snabbk?p,Sweden,Lule?,"Dr.#Andrew#Fuller#Vice President, Sales",20,19.2,
10280,75,Rh?nbr?u Klosterbier,14/08/2018,12/09/2018,11/09/2018,Berglunds snabbk?p,Sweden,Lule?,"Dr.#Andrew#Fuller#Vice President, Sales",30,6.2,
10281,19,Teatime Chocolate Biscuits,14/08/2018,21/08/2018,28/08/2018,Romero y tomillo,Spain,Madrid,Mrs.#Margaret#Peacock#Sales Representative,1,7.3,
10281,24,Guaran? Fant?stica,14/08/2018,21/08/2018,28/08/2018,Romero y tomillo,Spain,Madrid,Mrs.#Margaret#Peacock#Sales Representative,6,3.6,
10281,35,Steeleye Stout,14/08/2018,21/08/2018,28/08/2018,Romero y tomillo,Spain,Madrid,Mrs.#Margaret#Peacock#Sales Representative,4,14.4,
10282,30,Nord-Ost Matjeshering,15/08/2018,21/08/2018,12/09/2018,Romero y tomillo,Spain,Madrid,Mrs.#Margaret#Peacock#Sales Representative,6,20.7,
10282,57,Ravioli Angelo,15/08/2018,21/08/2018,12/09/2018,Romero y tomillo,Spain,Madrid,Mrs.#Margaret#Peacock#Sales Representative,2,15.6,
10283,15,Genen Shouyu,16/08/2018,23/08/2018,13/09/2018,LILA-Supermercado,Venezuela,Barquisimeto,Ms.#Janet#Leverling#Sales Representative,20,12.4,
10283,19,Teatime Chocolate Biscuits,16/08/2018,23/08/2018,13/09/2018,LILA-Supermercado,Venezuela,Barquisimeto,Ms.#Janet#Leverling#Sales Representative,18,7.3,
10283,60,Camembert Pierrot,16/08/2018,23/08/2018,13/09/2018,LILA-Supermercado,Venezuela,Barquisimeto,Ms.#Janet#Leverling#Sales Representative,35,27.2,
10283,72,Mozzarella di Giovanni,16/08/2018,23/08/2018,13/09/2018,LILA-Supermercado,Venezuela,Barquisimeto,Ms.#Janet#Leverling#Sales Representative,3,27.8,
10284,27,Schoggi Schokolade,19/08/2018,27/08/2018,16/09/2018,Lehmanns Marktstand,Germany,Frankfurt a.M.,Mrs.#Margaret#Peacock#Sales Representative,15,35.1,
10284,44,Gula Malacca,19/08/2018,27/08/2018,16/09/2018,Lehmanns Marktstand,Germany,Frankfurt a.M.,Mrs.#Margaret#Peacock#Sales Representative,21,15.5,
10284,60,Camembert Pierrot,19/08/2018,27/08/2018,16/09/2018,Lehmanns Marktstand,Germany,Frankfurt a.M.,Mrs.#Margaret#Peacock#Sales Representative,20,27.2,
10284,67,Laughing Lumberjack Lager,19/08/2018,27/08/2018,16/09/2018,Lehmanns Marktstand,Germany,Frankfurt a.M.,Mrs.#Margaret#Peacock#Sales Representative,5,11.2,
10285,1,Chai,20/08/2018,26/08/2018,17/09/2018,QUICK-Stop,Germany,Cunewalde,Ms.#Nancy#Davolio#Sales Representative,45,14.4,
10285,40,Boston Crab Meat,20/08/2018,26/08/2018,17/09/2018,QUICK-Stop,Germany,Cunewalde,Ms.#Nancy#Davolio#Sales Representative,40,14.7,
10285,53,Perth Pasties,20/08/2018,26/08/2018,17/09/2018,QUICK-Stop,Germany,Cunewalde,Ms.#Nancy#Davolio#Sales Representative,36,26.2,
10286,35,Steeleye Stout,21/08/2018,30/08/2018,18/09/2018,QUICK-Stop,Germany,Cunewalde,Ms.#Laura#Callahan#Inside Sales Coordinator,100,14.4,
10286,62,Tarte au sucre,21/08/2018,30/08/2018,18/09/2018,QUICK-Stop,Germany,Cunewalde,Ms.#Laura#Callahan#Inside Sales Coordinator,40,39.4,
10287,16,Pavlova,22/08/2018,28/08/2018,19/09/2018,Ricardo Adocicados,Brazil,Rio de Janeiro,Ms.#Laura#Callahan#Inside Sales Coordinator,40,13.9,
10287,34,Sasquatch Ale,22/08/2018,28/08/2018,19/09/2018,Ricardo Adocicados,Brazil,Rio de Janeiro,Ms.#Laura#Callahan#Inside Sales Coordinator,20,11.2,
10287,46,Spegesild,22/08/2018,28/08/2018,19/09/2018,Ricardo Adocicados,Brazil,Rio de Janeiro,Ms.#Laura#Callahan#Inside Sales Coordinator,15,9.6,
10288,54,Tourti?re,23/08/2018,03/09/2018,20/09/2018,Reggiani Caseifici,Italy,Reggio Emilia,Mrs.#Margaret#Peacock#Sales Representative,10,5.9,
10288,68,Scottish Longbreads,23/08/2018,03/09/2018,20/09/2018,Reggiani Caseifici,Italy,Reggio Emilia,Mrs.#Margaret#Peacock#Sales Representative,3,10,
10289,3,Aniseed Syrup,26/08/2018,28/08/2018,23/09/2018,B's Beverages,UK,London,Mr.#Robert#King#Sales Representative,30,8,
10289,64,Wimmers gute Semmelkn?del,26/08/2018,28/08/2018,23/09/2018,B's Beverages,UK,London,Mr.#Robert#King#Sales Representative,9,26.6,
10290,5,Chef Anton's Gumbo Mix,27/08/2018,03/09/2018,24/09/2018,Com?rcio Mineiro,Brazil,Sao Paulo,Ms.#Laura#Callahan#Inside Sales Coordinator,20,17,
10290,29,Th?ringer Rostbratwurst,27/08/2018,03/09/2018,24/09/2018,Com?rcio Mineiro,Brazil,Sao Paulo,Ms.#Laura#Callahan#Inside Sales Coordinator,15,99,
10290,49,Maxilaku,27/08/2018,03/09/2018,24/09/2018,Com?rcio Mineiro,Brazil,Sao Paulo,Ms.#Laura#Callahan#Inside Sales Coordinator,15,16,
10290,77,Original Frankfurter gr?ne So?e,27/08/2018,03/09/2018,24/09/2018,Com?rcio Mineiro,Brazil,Sao Paulo,Ms.#Laura#Callahan#Inside Sales Coordinator,10,10.4,
10291,13,Konbu,27/08/2018,04/09/2018,24/09/2018,Que Del?cia,Brazil,Rio de Janeiro,Mr.#Michael#Suyama#Sales Representative,20,4.8,
10291,44,Gula Malacca,27/08/2018,04/09/2018,24/09/2018,Que Del?cia,Brazil,Rio de Janeiro,Mr.#Michael#Suyama#Sales Representative,24,15.5,
10291,51,Manjimup Dried Apples,27/08/2018,04/09/2018,24/09/2018,Que Del?cia,Brazil,Rio de Janeiro,Mr.#Michael#Suyama#Sales Representative,2,42.4,
