Time Stamp,Type_Customer,Supplier ID,Supplier_state_name,UnitPrice,SalesQuantity,TitleOfCourtesy@FirstName@LastName@Title,Customer_ Country,Customer_City,Discount
01/01/2015 20:08,Reg,6,Maine,XXX,19,Mr.@Steven@Buchanan@Sales Manager,France,Reims,0.18
04/01/2015 17:24,Reg,23,Maine,160,27,Mr.@Steven@Buchanan@Sales Manager,France,Reims,0.18
05/01/2015 10:43,Silver,10,Maine,XXX,15,Mr.@Steven@Buchanan@Sales Manager,France,Reims,0.02
06/01/2015 10:28,VIP,11,Massachusetts,92,10,Mr.@Michael@Suyama@Sales Representative,Germany,M?nster,0.31
06/01/2015 10:28,Reg,25,Massachusetts,XXX,25,Mr.@Michael@Suyama@Sales Representative,Germany,M?nster,0.24
07/01/2015 9:30,Silver,25,Maine,97,18,Mrs.@Margaret@Peacock@Sales Representative,Brazil,Rio de Janeiro,0.16
07/01/2015 11:11,Reg,16,Puerto Rico,113,20,Mrs.@Margaret@Peacock@Sales Representative,Brazil,Rio de Janeiro,0.06
07/01/2015 12:30,Silver,28,Massachusetts,141,21,Mrs.@Margaret@Peacock@Sales Representative,Brazil,Rio de Janeiro,0.18
08/01/2015 11:39,VIP,26,Puerto Rico,87,10,Ms.@Janet@Leverling@Sales Representative,France,Lyon,0.29
09/01/2015 15:13,VIP,25,New Hampshire,103,30,Ms.@Janet@Leverling@Sales Representative,France,Lyon,0.13
10/01/2015 15:36,Silver,16,New Hampshire,139,21,Ms.@Janet@Leverling@Sales Representative,France,Lyon,0.1
11/01/2015 12:28,Silver,13,Massachusetts,183,13,Mrs.@Margaret@Peacock@Sales Representative,Belgium,Charleroi,0.05
12/01/2015 17:13,Reg,1,New Hampshire,136,24,Mrs.@Margaret@Peacock@Sales Representative,Belgium,Charleroi,0.3
14/01/2015 19:00,Silver,25,New Hampshire,113,30,Mrs.@Margaret@Peacock@Sales Representative,Belgium,Charleroi,0.22
15/01/2015 17:58,VIP,22,Rhode Island,66,13,Ms.@Janet@Leverling@Sales Representative,Brazil,Rio de Janeiro,0.09
15/01/2015 17:58,Silver,11,Rhode Island,157,30,Ms.@Janet@Leverling@Sales Representative,Brazil,Rio de Janeiro,0.13
15/01/2015 17:58,Reg,20,Massachusetts,106,23,Ms.@Janet@Leverling@Sales Representative,Brazil,Rio de Janeiro,0.15
15/01/2015 17:58,Silver,20,Massachusetts,184,11,Mr.@Steven@Buchanan@Sales Manager,Switzerland,Bern,0.21
19/01/2015 14:09,VIP,14,Massachusetts,94,29,Mr.@Steven@Buchanan@Sales Manager,Switzerland,Bern,0.26
19/01/2015 16:16,Reg,5,New Hampshire,155,21,Mr.@Steven@Buchanan@Sales Manager,Switzerland,Bern,0.09
19/01/2015 19:16,Reg,29,Rhode Island,115,12,Ms.@Anne@Dodsworth@Sales Representative,Switzerland,Gen?ve,0.01
20/01/2015 10:06,Silver,27,New Hampshire,174,28,Ms.@Anne@Dodsworth@Sales Representative,Switzerland,Gen?ve,0.05
21/01/2015 15:50,Reg,29,Rhode Island,149,14,Ms.@Anne@Dodsworth@Sales Representative,Switzerland,Gen?ve,0.29
23/01/2015 11:22,Reg,3,Maine,168,29,Ms.@Anne@Dodsworth@Sales Representative,Switzerland,Gen?ve,0.01
23/01/2015 11:22,VIP,7,Massachusetts,166,18,Ms.@Janet@Leverling@Sales Representative,Brazil,Resende,0.29
23/01/2015 13:40,Reg,22,New Hampshire,101,12,Ms.@Janet@Leverling@Sales Representative,Brazil,Resende,0.1
23/01/2015 13:40,Reg,19,Rhode Island,166,17,Mrs.@Margaret@Peacock@Sales Representative,Venezuela,San Crist?bal,0.18
26/01/2015 18:02,VIP,19,Rhode Island,158,25,Mrs.@Margaret@Peacock@Sales Representative,Venezuela,San Crist?bal,0.2
27/01/2015 10:50,Reg,2,Massachusetts,157,14,Mrs.@Margaret@Peacock@Sales Representative,Venezuela,San Crist?bal,0.22
27/01/2015 11:32,Silver,5,Puerto Rico,141,21,Ms.@Nancy@Davolio@Sales Representative,Austria,Graz,0.02
27/01/2015 11:32,Silver,22,New Hampshire,114,26,Ms.@Nancy@Davolio@Sales Representative,Austria,Graz,0.24
27/01/2015 11:32,Reg,3,Maine,146,17,Ms.@Nancy@Davolio@Sales Representative,Austria,Graz,0.09
28/01/2015 16:04,Reg,17,Massachusetts,131,18,Mrs.@Margaret@Peacock@Sales Representative,Mexico,M?xico D.F.,0.13
28/01/2015 20:57,VIP,1,Massachusetts,110,12,Mrs.@Margaret@Peacock@Sales Representative,Mexico,M?xico D.F.,0.17
29/01/2015 16:02,Reg,14,New Hampshire,124,10,Mrs.@Margaret@Peacock@Sales Representative,Germany,K?ln,0.12
29/01/2015 16:02,VIP,1,Maine,180,20,Mrs.@Margaret@Peacock@Sales Representative,Germany,K?ln,0.06
29/01/2015 16:02,Reg,16,Puerto Rico,157,29,Mrs.@Margaret@Peacock@Sales Representative,Germany,K?ln,0.33
30/01/2015 14:17,Silver,3,Maine,120,28,Mrs.@Margaret@Peacock@Sales Representative,Germany,K?ln,0.15
30/01/2015 14:17,VIP,17,Puerto Rico,82,30,Mrs.@Margaret@Peacock@Sales Representative,Brazil,Rio de Janeiro,0.31
30/01/2015 14:17,VIP,27,Rhode Island,145,18,Mrs.@Margaret@Peacock@Sales Representative,Brazil,Rio de Janeiro,0.21
31/01/2015 11:18,Reg,3,Maine,87,28,Ms.@Laura@Callahan@Inside Sales Coordinator,USA,Albuquerque,0.15
31/01/2015 11:18,Reg,15,Massachusetts,166,27,Ms.@Laura@Callahan@Inside Sales Coordinator,USA,Albuquerque,0.32
31/01/2015 19:32,Silver,26,Massachusetts,92,14,Ms.@Laura@Callahan@Inside Sales Coordinator,USA,Albuquerque,0.03
01/02/2015 20:18,Silver,7,Maine,131,14,Ms.@Anne@Dodsworth@Sales Representative,Austria,Graz,0.14
01/02/2015 20:18,Reg,4,Maine,141,15,Ms.@Anne@Dodsworth@Sales Representative,Austria,Graz,0.09
01/02/2015 20:18,Reg,17,Maine,200,25,Ms.@Anne@Dodsworth@Sales Representative,Austria,Graz,0.28
02/02/2015 20:03,Reg,4,Maine,141,29,Ms.@Anne@Dodsworth@Sales Representative,Austria,Graz,0.26
03/02/2015 13:13,Silver,2,New Hampshire,97,16,Mr.@Michael@Suyama@Sales Representative,Sweden,Br?cke,0.24
03/02/2015 13:13,Reg,25,Massachusetts,88,12,Mr.@Michael@Suyama@Sales Representative,Sweden,Br?cke,0.11
03/02/2015 20:58,Silver,6,Maine,143,18,"Dr.@Andrew@Fuller@Vice President, Sales",France,Strasbourg,0.02
03/02/2015 20:58,VIP,10,Maine,126,17,"Dr.@Andrew@Fuller@Vice President, Sales",France,Strasbourg,0.08
04/02/2015 13:42,Silver,18,New Hampshire,160,19,Ms.@Janet@Leverling@Sales Representative,Finland,Oulu,0.31
04/02/2015 15:26,VIP,25,Maine,183,12,Mrs.@Margaret@Peacock@Sales Representative,Germany,M?nchen,0.15
05/02/2015 11:15,Reg,22,Maine,106,27,Mrs.@Margaret@Peacock@Sales Representative,Germany,M?nchen,0.17
05/02/2015 12:10,VIP,8,Maine,133,24,Mrs.@Margaret@Peacock@Sales Representative,Germany,M?nchen,0.2
10/02/2015 16:57,Silver,13,Massachusetts,135,30,Ms.@Laura@Callahan@Inside Sales Coordinator,Venezuela,Caracas,0.09
10/02/2015 20:58,VIP,15,New Hampshire,174,28,Ms.@Laura@Callahan@Inside Sales Coordinator,Venezuela,Caracas,0.15
11/02/2015 11:03,Reg,22,Rhode Island,83,21,Mr.@Steven@Buchanan@Sales Manager,USA,Seattle,0.23
11/02/2015 11:03,Silver,24,Maine,115,24,Mr.@Steven@Buchanan@Sales Manager,USA,Seattle,0.15
11/02/2015 15:50,Silver,27,Massachusetts,95,22,Ms.@Nancy@Davolio@Sales Representative,Finland,Oulu,0.12
11/02/2015 15:50,VIP,10,New Hampshire,151,23,Ms.@Nancy@Davolio@Sales Representative,Finland,Oulu,0.03
12/02/2015 10:32,Silver,28,Massachusetts,155,26,Mr.@Michael@Suyama@Sales Representative,USA,Lander,0.12
12/02/2015 10:32,Reg,3,Maine,142,16,Mr.@Michael@Suyama@Sales Representative,USA,Albuquerque,0.01
13/02/2015 14:25,Silver,17,New Hampshire,179,19,Mr.@Michael@Suyama@Sales Representative,USA,Albuquerque,0.29
13/02/2015 14:25,Silver,2,New Hampshire,77,26,Mr.@Michael@Suyama@Sales Representative,USA,Albuquerque,0.07
17/02/2015 10:56,Reg,7,Maine,79,15,Ms.@Janet@Leverling@Sales Representative,Germany,Cunewalde,0.12
17/02/2015 12:05,Silver,29,New Hampshire,109,17,Ms.@Janet@Leverling@Sales Representative,Germany,Cunewalde,0.33
18/02/2015 15:07,Reg,8,Massachusetts,94,27,Ms.@Janet@Leverling@Sales Representative,Germany,Cunewalde,0.03
18/02/2015 19:11,Reg,27,Rhode Island,172,13,Ms.@Janet@Leverling@Sales Representative,Germany,Cunewalde,0.29
18/02/2015 20:26,Silver,13,Maine,175,25,Ms.@Janet@Leverling@Sales Representative,Germany,Cunewalde,0.08
19/02/2015 19:01,VIP,20,Massachusetts,121,13,Mr.@Michael@Suyama@Sales Representative,France,Reims,0.13
19/02/2015 19:11,VIP,21,Puerto Rico,187,15,Mr.@Michael@Suyama@Sales Representative,France,Reims,0.3
19/02/2015 19:11,Silver,1,Maine,129,18,Ms.@Nancy@Davolio@Sales Representative,Italy,Bergamo,0.18
20/02/2015 10:49,Silver,14,Maine,122,25,Ms.@Nancy@Davolio@Sales Representative,Italy,Bergamo,0.29
20/02/2015 17:38,VIP,1,Massachusetts,82,10,Ms.@Laura@Callahan@Inside Sales Coordinator,Mexico,M?xico D.F.,0.27
20/02/2015 18:28,VIP,26,Maine,125,16,Ms.@Laura@Callahan@Inside Sales Coordinator,Mexico,M?xico D.F.,0.12
20/02/2015 18:28,Reg,9,New Hampshire,104,17,"Dr.@Andrew@Fuller@Vice President, Sales",Germany,Leipzig,0.23
21/02/2015 12:28,Silver,17,Massachusetts,150,13,"Dr.@Andrew@Fuller@Vice President, Sales",Germany,Leipzig,0.18
21/02/2015 12:28,Silver,20,Maine,165,21,Ms.@Laura@Callahan@Inside Sales Coordinator,Sweden,Lule?,0.32
21/02/2015 12:28,Silver,16,Massachusetts,179,15,Ms.@Laura@Callahan@Inside Sales Coordinator,Sweden,Lule?,0.07
21/02/2015 12:28,VIP,9,Maine,104,27,Ms.@Laura@Callahan@Inside Sales Coordinator,Sweden,Lule?,0.18
21/02/2015 13:49,Reg,19,New Hampshire,65,20,Ms.@Laura@Callahan@Inside Sales Coordinator,Sweden,Lule?,0.1
21/02/2015 13:49,Reg,15,Massachusetts,125,16,Ms.@Laura@Callahan@Inside Sales Coordinator,Germany,Frankfurt a.M.,0.31
21/02/2015 13:49,Reg,9,Maine,83,11,"Dr.@Andrew@Fuller@Vice President, Sales",Sweden,Lule?,0.02
22/02/2015 13:02,Silver,17,Maine,136,15,"Dr.@Andrew@Fuller@Vice President, Sales",Sweden,Lule?,0.33
22/02/2015 19:37,Silver,23,Maine,140,17,"Dr.@Andrew@Fuller@Vice President, Sales",Sweden,Lule?,0.04
23/02/2015 11:21,Reg,13,Rhode Island,83,12,Mrs.@Margaret@Peacock@Sales Representative,Spain,Madrid,0.24
23/02/2015 11:21,VIP,28,New Hampshire,130,23,Mrs.@Margaret@Peacock@Sales Representative,Spain,Madrid,0.29
23/02/2015 11:21,Reg,4,Massachusetts,111,16,Mrs.@Margaret@Peacock@Sales Representative,Spain,Madrid,0.01
23/02/2015 13:45,VIP,27,Massachusetts,198,20,Mrs.@Margaret@Peacock@Sales Representative,Spain,Madrid,0.12
23/02/2015 13:45,Reg,2,Maine,172,24,Mrs.@Margaret@Peacock@Sales Representative,Spain,Madrid,0.15
23/02/2015 13:45,Silver,22,Maine,131,27,Ms.@Janet@Leverling@Sales Representative,Venezuela,Barquisimeto,0.19
23/02/2015 13:45,VIP,12,Massachusetts,134,17,Ms.@Janet@Leverling@Sales Representative,Venezuela,Barquisimeto,0.16
23/02/2015 14:38,Reg,3,Maine,108,25,Ms.@Janet@Leverling@Sales Representative,Venezuela,Barquisimeto,0.12
